timestamp,symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,strategy,regime,holding_time
2026-05-17 22:21:07,BTC/USDT,SELL,78339.99,78082.01,0.0001,-0.0258,-0.329,TrendFollowing,unknown,14m
2026-05-17 23:41:06,ETH/USDT,SELL,2177.84,2140.77,0.0046,-0.1705,-1.702,MeanReversion,unknown,77m
2026-05-19 01:41:29,BTC/USDT,SELL,76773.88,76773.89,0.0001,0.0,0.0,MeanReversion,unknown,0m
2026-05-19 07:48:02,ETH/USDT,SELL,2122.5,2143.57,0.0047,0.099,0.993,VWAPReversion,unknown,344m
2026-05-19 10:00:03,ETH/USDT,SELL,2116.42,2114.29,0.0047,-0.01,-0.101,VWAPReversion,unknown,19m
2026-05-19 11:26:19,ETH/USDT,SELL,2114.28,2114.29,0.0047,0.0,0.0,VWAPReversion,unknown,0m
2026-05-19 11:45:52,ETH/USDT,SELL,2110.65,2110.74,0.0047,0.0004,0.004,VWAPReversion,unknown,0m
2026-05-19 11:57:28,ETH/USDT,SELL,2110.46,2110.71,0.0047,0.0012,0.012,VWAPReversion,sideways,0m
2026-05-20 00:12:03,BTC/USDT,SELL,76640.0,76633.44,0.0001,-0.0007,-0.009,MeanReversion,trending_up,0m
2026-05-20 15:15:43,BTC/USDT,SELL,77220.0,77780.58,0.0001,0.0561,0.726,MeanReversion,sideways,102m
2026-05-22 22:22:36,ETH/USDT,SELL,2073.29,2073.28,0.4823,-0.0048,-0.0,VWAPReversion,sideways,0m
2026-05-22 22:35:37,ETH/USDT,SELL,2069.81,2069.8,0.483,-0.0048,-0.0,VWAPReversion,trending_down,0m
2026-05-22 23:56:37,BTC/USDT,SELL,75579.02,75579.01,0.004,-0.0,-0.0,VWAPReversion,sideways,0m
2026-05-24 03:38:53,ETH/USDT,SELL,2119.57,2119.91,0.1415,0.0481,0.016,Momentum,trending_up,75m
2026-05-24 12:11:43,ETH/USDT,SELL,2125.18,2123.01,0.1411,-0.3062,-0.102,TrendFollowing,trending_up,12m
2026-05-24 13:31:31,ETH/USDT,SELL,2117.34,2120.32,0.1417,0.4223,0.141,MeanReversion,trending_up,2m
2026-06-04 22:46:54,ETH/USDT,SELL,1757.8616,1756.1956,1.120078,-1.8661,-0.095,VWAPReversion,trending_down,0m
2026-06-05 14:00:05,SOL/USDT,SELL,64.3552,64.4162,30.596746,1.8674,0.095,MeanReversion,sideways,0m
